
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
64:29:43:BC:23:D0, 2024-01-10 02:33:57, 2024-01-10 02:34:04, -1,  -1, , ,   , -63,        0,        0,   0.  0.  0.  0,   0, , 
42:93:BA:D8:57:14, 2024-01-10 02:34:03, 2024-01-10 02:34:03, -1,  -1, , ,   , -64,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
D6:D1:23:AE:F3:AA, 2024-01-10 02:33:52, 2024-01-10 02:33:52, -67,        1, (not associated) ,
0A:4B:0D:F2:B3:26, 2024-01-10 02:33:53, 2024-01-10 02:33:53, -63,        1, (not associated) ,
A6:60:09:12:A2:8B, 2024-01-10 02:33:53, 2024-01-10 02:33:53, -57,        2, (not associated) ,
F2:6A:B6:F6:AE:FA, 2024-01-10 02:33:53, 2024-01-10 02:33:54, -45,       40, (not associated) ,TruptiRaj,skanu,Aditya,Apditya
58:7A:6A:BE:0C:7F, 2024-01-10 02:33:54, 2024-01-10 02:33:54, -63,        1, (not associated) ,AndroidShare_5666
18:84:C1:30:D8:D6, 2024-01-10 02:33:54, 2024-01-10 02:33:54, -55,        1, (not associated) ,
20:9B:E6:DF:B7:86, 2024-01-10 02:33:54, 2024-01-10 02:33:54, -67,        1, (not associated) ,
F2:C8:4A:9D:2F:09, 2024-01-10 02:33:55, 2024-01-10 02:33:55, -27,        7, (not associated) ,
0A:84:65:8E:59:3A, 2024-01-10 02:33:58, 2024-01-10 02:33:59, -47,       11, (not associated) ,AndroidShare_8212,CQAAALBjAuMAPwFBRedmi Note 4,dhejejej
CE:42:10:C1:C1:52, 2024-01-10 02:33:59, 2024-01-10 02:33:59, -63,        3, (not associated) ,
B6:3F:60:7C:81:00, 2024-01-10 02:33:59, 2024-01-10 02:33:59, -61,        1, (not associated) ,
0A:6F:02:54:4E:5C, 2024-01-10 02:34:00, 2024-01-10 02:34:00, -49,        1, (not associated) ,
8A:17:68:7A:75:54, 2024-01-10 02:34:01, 2024-01-10 02:34:02, -61,       13, (not associated) ,CQAAALBjAuMAPwFBRedmi Note 4,AndroidShare_8212,dhejejej
16:68:FF:C3:E8:37, 2024-01-10 02:34:01, 2024-01-10 02:34:01, -47,        1, (not associated) ,
9E:34:59:D8:C4:BD, 2024-01-10 02:34:02, 2024-01-10 02:34:02, -59,        2, 64:29:43:BC:23:D0,
2C:0D:A7:F4:2B:62, 2024-01-10 02:34:02, 2024-01-10 02:34:03, -65,        3, (not associated) ,
BA:E4:3A:B1:62:DB, 2024-01-10 02:34:02, 2024-01-10 02:34:02, -65,        1, (not associated) ,
1C:39:29:6E:20:0F, 2024-01-10 02:34:03, 2024-01-10 02:34:03, -67,        2, (not associated) ,Avengers Assemble
BC:6A:D1:79:FF:9F, 2024-01-10 02:34:03, 2024-01-10 02:34:03, -59,        1, (not associated) ,jspoly_2.4G
9E:FE:A2:39:1A:F5, 2024-01-10 02:34:04, 2024-01-10 02:34:04, -67,        2, (not associated) ,

